order_id,order_date,customer_id,gender,age,product_category,product_name,quantity,unit_price,total_amount,payment_method,order_status,delivery_status,country,city
A1000,9/25/2023,C754,Female,57,Home & Kitchen,Product_120,2,6071,12142,Card,Returned,Not Delivered,India,Jaipur
A1001,5/23/2023,C214,Female,33,Home & Kitchen,Product_146,1,3139,3139,COD,Returned,Not Delivered,India,Jaipur
A1002,6/16/2023,C125,Male,49,Clothing,Product_91,1,16497,16497,Card,Cancelled,Not Delivered,India,Hyderabad
A1003,9/22/2023,C859,Male,23,Clothing,Product_185,3,632,1896,Card,Cancelled,Delivered,India,Indore
A1004,9/9/2023,C381,Female,19,Electronics,Product_76,3,23625,70875,UPI,Cancelled,Delivered,India,Hyderabad
A1005,7/8/2023,C350,Female,53,Beauty,Product_109,3,19356,58068,COD,Returned,Not Delivered,India,Jaipur
A1006,5/19/2023,C328,Female,34,Clothing,Product_31,3,15168,45504,COD,Completed,Not Delivered,India,Mumbai
A1007,12/20/2023,C242,Male,30,Clothing,Product_190,3,17859,53577,Card,Cancelled,Not Delivered,India,Mumbai
A1008,4/27/2023,C854,Female,29,Beauty,Product_4,1,10007,10007,COD,Returned,Delivered,India,Hyderabad
A1009,10/11/2023,C204,Female,26,Home & Kitchen,Product_27,1,2086,2086,UPI,Returned,Not Delivered,India,Indore
A1010,6/24/2023,C792,Male,21,Beauty,Product_123,2,14733,29466,UPI,Completed,Not Delivered,India,Indore
A1011,11/19/2023,C858,Male,27,Clothing,Product_145,1,19207,19207,Card,Completed,Delivered,India,Mumbai
A1012,11/7/2023,C658,Male,51,Home & Kitchen,Product_116,3,13937,41811,Card,Cancelled,Not Delivered,India,Hyderabad
A1013,1/31/2023,C189,Male,31,Clothing,Product_68,3,20649,61947,COD,Completed,Delivered,India,Bangalore
A1014,2/8/2023,C704,Male,18,Home & Kitchen,Product_116,1,18387,18387,COD,Returned,Not Delivered,India,Hyderabad
A1015,5/28/2023,C532,Female,47,Electronics,Product_176,1,7885,7885,UPI,Cancelled,Delivered,India,Chennai
A1016,4/26/2023,C132,Male,35,Clothing,Product_19,1,18144,18144,UPI,Completed,Not Delivered,India,Hyderabad
A1017,8/28/2023,C130,Female,43,Beauty,Product_129,2,4374,8748,COD,Cancelled,Not Delivered,India,Mumbai
A1018,8/10/2023,C195,Female,56,Beauty,Product_7,3,1606,4818,UPI,Completed,Delivered,India,Hyderabad
A1019,3/31/2023,C323,Female,51,Home & Kitchen,Product_72,3,1618,4854,UPI,Returned,Not Delivered,India,Indore
A1020,6/28/2023,C338,Female,39,Beauty,Product_172,1,15701,15701,UPI,Completed,Not Delivered,India,Chennai
A1021,5/28/2023,C617,Female,53,Electronics,Product_117,3,16535,49605,UPI,Cancelled,Not Delivered,India,Jaipur
A1022,9/21/2023,C716,Male,60,Home & Kitchen,Product_106,1,13544,13544,UPI,Completed,Not Delivered,India,Indore
A1023,1/27/2023,C127,Male,35,Clothing,Product_74,3,14784,44352,Card,Returned,Not Delivered,India,Mumbai
A1024,11/8/2023,C674,Male,28,Beauty,Product_142,1,20944,20944,UPI,Returned,Not Delivered,India,Mumbai
A1025,8/25/2023,C303,Male,59,Clothing,Product_128,1,4017,4017,COD,Cancelled,Not Delivered,India,Chennai
A1026,5/5/2023,C833,Female,53,Clothing,Product_99,2,15773,31546,UPI,Returned,Delivered,India,Mumbai
A1027,6/24/2023,C765,Female,18,Beauty,Product_186,2,13896,27792,Card,Returned,Not Delivered,India,Delhi
A1028,9/5/2023,C818,Female,39,Home & Kitchen,Product_117,2,17948,35896,Card,Completed,Delivered,India,Chennai
A1029,1/23/2023,C658,Female,48,Home & Kitchen,Product_99,1,13760,13760,COD,Returned,Delivered,India,Indore
A1030,9/15/2023,C529,Female,24,Home & Kitchen,Product_26,1,4436,4436,COD,Cancelled,Delivered,India,Delhi
A1031,3/21/2023,C325,Male,48,Beauty,Product_87,2,21755,43510,COD,Returned,Not Delivered,India,Mumbai
A1032,10/1/2023,C559,Female,38,Home & Kitchen,Product_139,2,22397,44794,UPI,Returned,Delivered,India,Bangalore
A1033,5/28/2023,C703,Male,23,Home & Kitchen,Product_26,3,22726,68178,COD,Returned,Delivered,India,Indore
